internal_drug_id,entity_status,name_candidate,name_source,name_resolution_status,rxnorm_match_status,rxnorm_match_method,rxcui,rxnorm_name,rxnorm_synonym,rxnorm_tty,rxnorm_language,match_score,enrichment_confidence,api_status,error_message
DRUG_000175,CONFIRMED_INTEGRATED_ENTITY,metformin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,6809,metformin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000176,CONFIRMED_INTEGRATED_ENTITY,Atrovent Hfa,pubchem_cid_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,1546373,ipratropium cation,,PIN,ENG,100.0,HIGH_EXACT,success,
DRUG_000177,CONFIRMED_INTEGRATED_ENTITY,methadone,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,6813,methadone,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000178,CONFIRMED_INTEGRATED_ENTITY,olanzapine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,61381,olanzapine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000179,CONFIRMED_INTEGRATED_ENTITY,atenolol,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,1202,atenolol,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000180,CONFIRMED_INTEGRATED_ENTITY,nitrofurazone,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,7455,nitrofurazone,nitrofural,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000181,CONFIRMED_INTEGRATED_ENTITY,pimecrolimus,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,321952,pimecrolimus,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000182,CONFIRMED_INTEGRATED_ENTITY,omeprazole,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,7646,omeprazole,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000183,CONFIRMED_INTEGRATED_ENTITY,pyrazinamide,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,8987,pyrazinamide,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000184,CONFIRMED_INTEGRATED_ENTITY,methixene,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,29682,methixene,metixene,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000185,AMBIGUOUS_MAPPING_COMPONENT,cetirizine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,20610,cetirizine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000186,AMBIGUOUS_MAPPING_COMPONENT,levocetirizine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,356887,levocetirizine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000187,AMBIGUOUS_MAPPING_COMPONENT,Cetirizine,pubchem_cid_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_name_lookup,20610,cetirizine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000188,CONFIRMED_INTEGRATED_ENTITY,diltiazem,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,3443,diltiazem,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000189,CONFIRMED_INTEGRATED_ENTITY,protriptyline,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,8886,protriptyline,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000190,CONFIRMED_INTEGRATED_ENTITY,p-Aminohippuric acid,pubchem_inchikey_lookup,PUBCHEM_TITLE_CANDIDATE,HIGH_EXACT,exact_identifier_based,42837,p-aminohippurate,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000191,CONFIRMED_INTEGRATED_ENTITY,alfuzosin,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,17300,alfuzosin,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000192,CONFIRMED_INTEGRATED_ENTITY,trimethadione,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,10827,trimethadione,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000193,CONFIRMED_INTEGRATED_ENTITY,clobazam,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,21241,clobazam,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000194,CONFIRMED_INTEGRATED_ENTITY,minoxidil,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,6984,minoxidil,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000195,CONFIRMED_INTEGRATED_ENTITY,megestrol acetate,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,29451,megestrol acetate,,PIN,ENG,100.0,HIGH_EXACT,success,
DRUG_000196,CONFIRMED_INTEGRATED_ENTITY,NO_NAME_CANDIDATE,none,NO_NAME_CANDIDATE,HIGH_EXACT,exact_identifier_based,10485,thioguanine,tioguanine,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000197,CONFIRMED_INTEGRATED_ENTITY,methylergonovine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,6883,methylergonovine,methylergometrine,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000198,CONFIRMED_INTEGRATED_ENTITY,buclizine,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,59636,buclizine,,IN,ENG,100.0,HIGH_EXACT,success,
DRUG_000199,CONFIRMED_INTEGRATED_ENTITY,aztreonam,rxnav_drugbank_id_lookup,AUTHORITATIVE_NAME,HIGH_EXACT,exact_identifier_based,1272,aztreonam,,IN,ENG,100.0,HIGH_EXACT,success,
