internal_drug_id,query_name,candidate_rxcui,candidate_name,candidate_tty,match_method,match_score,selected_as_final,selection_reason
DRUG_000591,acyclovir,281,acyclovir,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000592,naproxen,7258,naproxen,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000593,perindopril,54552,perindopril,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000597,primidone,8691,primidone,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000601,gentamicin,1596450,gentamicin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000602,tazarotene,83947,tazarotene,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000605,alfentanil,480,alfentanil,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000607,dicyclomine,3361,dicyclomine,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000609,pentoxifylline,8013,pentoxifylline,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000611,indapamide,5764,indapamide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000612,tropicamide,10869,tropicamide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000614,ribavirin,9344,ribavirin,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000616,fentanyl,4337,fentanyl,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000620,propofol,8782,propofol,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000621,acetazolamide,167,acetazolamide,IN,exact_name_lookup,100.0,1,Top matching score candidate
DRUG_000622,tadalafil,358263,tadalafil,IN,exact_name_lookup,100.0,1,Top matching score candidate
